Manufacturer Part Number,Manufacturer,Digi-Key Part Number,Reference,Quantity,Description
OSL40391-IRA,OptoSupply,"N/A, alternative below",U1,1,"0.39"" 4-digit 7-Segment Display Common Anode"
LTC-4627JR ,Lite-On Inc.,160-1550-5-ND,U1,1,"0.39"" 4-digit 7-Segment Display Common Anode"
RNMF14FTC470R,Stackpole Electronics Inc,S470CACT-ND,R1-8,8,RES 470 OHM 1/4W 1% AXIAL
RNMF14FTC10K0,Stackpole Electronics Inc,S10KCACT-ND,R9-13,5,RES 10 KOHM 1/4W 1% AXIAL
2N3906BU ,ON Semiconductor,2N3906FS-ND,Q1-5,5,2N3906 PNP Silicon Transistor TO-92 Straight Lead
PEC20DBAN,Sullins Connector Solutions,S2112E-20-ND,"J1,J2",1,CONN HEADER R/A 40POS 2.54MM cut to size
